agent1,agent2,maps,run,scores,ticks
RandomController,MCTS: (75;3;15),data/maps/level1.txt,0,0.5,2000
RandomController,MCTS: (75;3;15),data/maps/level2.txt,0,1.0,1016
RandomController,MCTS: (75;3;15),data/maps/level3.txt,0,0.0,2000
RandomController,MCTS: (75;3;15),data/maps/level4.txt,0,0.75,2000
RandomController,MCTS: (75;3;15),data/maps/level5.txt,0,0.0,2000
RandomController,MCTS: (75;3;15),data/maps/level6.txt,0,0.25,2000
RandomController,MCTS: (75;3;15),data/maps/level1E.txt,0,1.0,320
RandomController,MCTS: (200;5;30),data/maps/level1.txt,0,1.0,1227
RandomController,MCTS: (200;5;30),data/maps/level2.txt,0,1.0,263
RandomController,MCTS: (200;5;30),data/maps/level3.txt,0,0.5,2000
RandomController,MCTS: (200;5;30),data/maps/level4.txt,0,1.0,1290
RandomController,MCTS: (200;5;30),data/maps/level5.txt,0,0.0,2000
RandomController,MCTS: (200;5;30),data/maps/level6.txt,0,0.75,2000
RandomController,MCTS: (200;5;30),data/maps/level1E.txt,0,1.0,194
RandomController,VariGA,data/maps/level1.txt,0,1.0,285
RandomController,VariGA,data/maps/level2.txt,0,0.5,2000
RandomController,VariGA,data/maps/level3.txt,0,0.5,2000
RandomController,VariGA,data/maps/level4.txt,0,0.5,2000
RandomController,VariGA,data/maps/level5.txt,0,1.0,472
RandomController,VariGA,data/maps/level6.txt,0,0.5,2000
RandomController,VariGA,data/maps/level1E.txt,0,1.0,56
RandomController,GAController,data/maps/level1.txt,0,0.0,2000
RandomController,GAController,data/maps/level2.txt,0,0.5,2000
RandomController,GAController,data/maps/level3.txt,0,0.0,2000
RandomController,GAController,data/maps/level4.txt,0,0.75,2000
RandomController,GAController,data/maps/level5.txt,0,0.0,2000
RandomController,GAController,data/maps/level6.txt,0,0.0,2000
RandomController,GAController,data/maps/level1E.txt,0,1.0,1166
RandomController,RandomController,data/maps/level1.txt,0,0.0,2000
RandomController,RandomController,data/maps/level2.txt,0,0.5,2000
RandomController,RandomController,data/maps/level3.txt,0,0.5,2000
RandomController,RandomController,data/maps/level4.txt,0,0.75,2000
RandomController,RandomController,data/maps/level5.txt,0,0.0,2000
RandomController,RandomController,data/maps/level6.txt,0,0.25,2000
RandomController,RandomController,data/maps/level1E.txt,0,1.0,97
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level1.txt,0,1.0,116
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level2.txt,0,1.0,27
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level3.txt,0,1.0,268
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level4.txt,0,1.0,54
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level5.txt,0,1.0,891
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level6.txt,0,1.0,426
MCTS: (500;10;45),MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,28
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level1.txt,0,0.5,2000
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level2.txt,0,1.0,396
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level3.txt,0,0.0,2000
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level4.txt,0,0.75,2000
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level5.txt,0,0.0,2000
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level6.txt,0,0.25,2000
MCTS: (500;10;45),MCTS: (75;3;15),data/maps/level1E.txt,0,1.0,14
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level1.txt,0,1.0,384
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level2.txt,0,1.0,62
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level3.txt,0,1.0,1114
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level4.txt,0,1.0,117
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level5.txt,0,0.0,2000
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level6.txt,0,1.0,1145
MCTS: (500;10;45),MCTS: (200;5;30),data/maps/level1E.txt,0,1.0,23
MCTS: (500;10;45),VariGA,data/maps/level1.txt,0,1.0,437
MCTS: (500;10;45),VariGA,data/maps/level2.txt,0,1.0,55
MCTS: (500;10;45),VariGA,data/maps/level3.txt,0,1.0,1008
MCTS: (500;10;45),VariGA,data/maps/level4.txt,0,1.0,366
MCTS: (500;10;45),VariGA,data/maps/level5.txt,0,0.0,2000
MCTS: (500;10;45),VariGA,data/maps/level6.txt,0,1.0,1923
MCTS: (500;10;45),VariGA,data/maps/level1E.txt,0,1.0,47
MCTS: (500;10;45),GAController,data/maps/level1.txt,0,0.5,2000
MCTS: (500;10;45),GAController,data/maps/level2.txt,0,1.0,245
MCTS: (500;10;45),GAController,data/maps/level3.txt,0,0.75,2000
MCTS: (500;10;45),GAController,data/maps/level4.txt,0,1.0,974
MCTS: (500;10;45),GAController,data/maps/level5.txt,0,1.0,1079
MCTS: (500;10;45),GAController,data/maps/level6.txt,0,1.0,1565
MCTS: (500;10;45),GAController,data/maps/level1E.txt,0,1.0,527
MCTS: (500;10;45),RandomController,data/maps/level1.txt,0,1.0,1447
MCTS: (500;10;45),RandomController,data/maps/level2.txt,0,0.5,2000
MCTS: (500;10;45),RandomController,data/maps/level3.txt,0,1.0,939
MCTS: (500;10;45),RandomController,data/maps/level4.txt,0,1.0,1663
MCTS: (500;10;45),RandomController,data/maps/level5.txt,0,1.0,323
MCTS: (500;10;45),RandomController,data/maps/level6.txt,0,1.0,1220
MCTS: (500;10;45),RandomController,data/maps/level1E.txt,0,1.0,143
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level1.txt,0,0.0,2000
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level2.txt,0,1.0,430
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level3.txt,0,0.0,2000
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level4.txt,0,1.0,856
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level5.txt,0,0.0,2000
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level6.txt,0,0.5,2000
MCTS: (75;3;15),MCTS: (500;10;45),data/maps/level1E.txt,0,1.0,65
MCTS: (75;3;15),MCTS: (75;3;15),data/maps/level1.txt,0,0.0,2000
MCTS: (75;3;15),MCTS: (75;3;15),data/maps/level2.txt,0,1.0,1389
